Code,Name,Address,State,City,Hospital Class,ServiceType
2342996,MALENS DIAGNOSTIC SOLUTIONS - ANNEX 1,"137 Ijede Road, opposite St Raphael Divine Mercy specialist Hospital, Cele bustop, Ikorodu, Lagos state",Lagos,Ijede Road,BRONZE,DIAGNOSTICS
2342996,MALENS DIAGNOSTIC SOLUTIONS - ANNEX 3,"132, Isawo Road Beside Label Hotel Opposite UBA Bank, Near Lawyer Bus stop, Agric, Ikorodu, Lagos.",Lagos,Agric ,BRONZE,DIAGNOSTICS
2340860,AFRIGLOBAL MEDICARE - IKORODU CENTRE,"76 Beach Road, Opposite Mobil Filling Station, Ikorodu",LAGOS,IKORODU,BRONZE,DIAGNOSTICS
2340395,CLINIX HEALTHCARE- IKORODU,"132, Lagos road, Haruna Bus stop, Ikorodu, Lagos Office",LAGOS,IKORODU,BRONZE,DIAGNOSTICS
2345019,PAZ DIAGNOSTICS LTD,75 TOS BENSON ROAD (BEACH ROAD) BESIDE MALOK FILLING STATION EBUTE. Ipakodo Ikorodu Lagos Nigeria,LAGOS,IKORODU,BRONZE,DIAGNOSTICS
,,,,,BRONZE,DIAGNOSTICS
2342906,INSIGHT PLUS HEALTHCARE DIAGNOSTICS,"48B OGUDU ROAD, OGUDU GRA OGUDU-OJOTA LAGOS",LAGOS,OJOTA,BRONZE,DIAGNOSTICS
2340333,CLINA LANCET - Ebute Metta,"34 Glover St, Adekunle, Apena ,  Ebute Metta Lagos, Nigeria",Lagos,Ebute-Metta,BRONZE,DIAGNOSTICS
2340177,CRESTVIEW RADIOLOGY AND DIAGNOSTICS - IGBOBI,"NATIONAL ORTHOPAEDIC HOSPITAL, CRESTVIEW PLACE, 120/124 IKORODU ROAD IGBOBI, LAGOS.",Lagos,IGBOBI,BRONZE,DIAGNOSTICS
,,,,,,
,,,,,,
 ,UPCOUNTRY, , , , , 
2340372,ECHO SCAN HOSPITAL,"PLOT 643 GIMBIYA STREET, AREA 11 , ABUJA",ABUJA,GARKI,BRONZE,DIAGNOSTICS
2340601,LIFEBRIDGE DIAGNOSTIC CENTER,"15A YAURI STREET, GARKI II",ABUJA,GARKI,GOLD,DIAGNOSTICS
2344228,LASO DIAGNOSTICS LIMITED,"SUITE A14/A15 CITRUS MALL, BESIDE GADUWA ESTATE MAIN GATE",ABUJA,GADUWA,BRONZE,DIAGNOSTICS
2344199,APIN MEDICAL LABORATORY AND DIAGNOSTICS,"PLOT 1048 CADASTRAL ZONE BO5 OFF ANDY BASSEY UBONG STREET, BEHIND SMART BRIDGE PLAZA UTAKO",ABUJA,UTAKO,BRONZE,DIAGNOSTICS
2343814,RONNIE DIAGNOSTICS CENTRE LTD,SUIT GF16 ANAFARA PLAZA BESIDE MIB PLAZA FIRST AVENUE GWARINPA ABUJA,ABUJA,GWARINPA,GOLD,DIAGNOSTICS
2343814,RONNIE DIAGNOSTIC CENTER LTD,"FAITHMEDIX PLEX HOSPITAL, OPPOSITE DANTATA STAFF QUARTERS, OLD KARMO, ABUJA",ABUJA,KARMO,GOLD,DIAGNOSTICS
2341010,GRABBO DIAGNOSTIC SERVICES LTD,"NO 2, 3RD AVENUE, GWARINPA",ABUJA,GWARINPA,BRONZE,DIAGNOSTICS
2341103,MEDICAID RADIODIAGNOSTICS,"NO 2 LIBREVILLE STREET, OFF AMINU KANO CRESCENT WUSE II",ABUJA,WUSE 2,GOLD,DIAGNOSTICS
2343738,SYNLAB NIGERIA LIMITED,"NO 17 AMINU KANO CRESCENT, OPPOSITE BANEX PLAZA, WUSE 2",ABUJA,WUSE 2,BRONZE,DIAGNOSTICS
2341629,PSEVEN MEDICAL DIAGNOSTICS AND CONSULTING CENTER,PLOT 23 ZONE E APO RESETTLEMENT OPPOSITE ABUJA HIGH COURT APO,ABUJA,APO,SILVER,DIAGNOSTICS
2343666,BODY AFFAIRS DIAGNOSTICS LTD,"SUITE 6 HAJJARS PLAZA, 1349 AHMADU BELLO WAY",ABUJA,GARKI,BRONZE,DIAGNOSTICS
2343647,CELLULOSE MEDICAL LABORATORY,"SHM COMPLEX, PLOT 1186 CADASTRAL ZONE MABUSHI, ABUJA",ABUJA,MABUSHI,BRONZE,DIAGNOSTICS
2342514,E CLINIC AND DIAGNOSTICS LIMITED,"3,agadez street, wuse 2, Abuja",ABUJA,WUSE 2,BRONZE,DIAGNOSTICS
2343983,DNA LABS LIMITED,"NO 2 AJAYI CROWTHER STREET, ASOKORO",ABUJA,ASOKORO,BRONZE,DIAGNOSTICS
2344292,EVERIGHT DIAGNOSTIC AND LABORATORY SERVICE LTD,"NO 2 FEZ STREET, OFF KUMASI CRESCENT WUSE 2 ABUJA",ABUJA,WUSE,BRONZE,DIAGNOSTICS
2344370,LAB CREST MEDICAL DIAGNOSTICS AND CLINIC,"Grey Palaza, 11 Dunukofia street, opp NNPC Quarters, Area 11 Garki",ABUJA,GARKI,BRONZE,DIAGNOSTICS
,,,,,,
2340970,ZITADEL MEDICALS AND DIAGNOSTICS LIMITED,"58 PROFESSOR OKUJAGU ROAD, OFF TRANS AMADI ROAD PORT HARCOURT",RIVERS,PORT HARCOURT,BRONZE,DIAGNOSTICS
2340735,INTERCONTINENTAL DIAGNOSTICS CENTER,"5 EZIMGBU LINK ROAD, GRA PHASE 4",RIVERS,PORT HARCOURT,BRONZE,DIAGNOSTICS
2340747,PREMIUM PHYSIOTHERAPY AND DIAGNOSTICS LTD,"16 AWKA STREET, BESIDE FEDERAL ROAD SAFETY COMMISSION, ABA ROAD,",RIVERS,PORT HARCOURT,GOLD,DIAGNOSTICS
2341169,IMAGE DIAGNOSTICS PORTHARCOURT,"9B, ELIGBAM ROAD, OPPOSITE COLLEGE OF ARTS ANS SCIENCES, RUMUOLA PORT HARCOURT",RIVERS,PORT HARCOURT,GOLD,DIAGNOSTICS
2341465,TRANSVIEW DIAGNOSTIC LIMITED,17B IGBOUKWU STREET D/LINE PORT HARCOURT,RIVERS,PORT HARCOURT,BRONZE,DIAGNOSTICS
2341524,SYNLAB PORT HARCOURT,"NO 41 EVO ROAD, GRA PHASE 2 PORT HARCOURT",RIVERS,PORT HARCOURT,BRONZE,DIAGNOSTICS
2342757,PHAREZ SPRNG DIAGNOSTICS AND WELLNESS,"NO 1 MAGISTRATE COURT ROAD, BESIDE MODEL PRIMARY HEALTH CENTRE ONNE",RIVERS,PORT HARCOURT,BRONZE,DIAGNOSTICS
2340439,ANSETT DIAGNOSTIC LIMITED,"9 NEW LAYOUT DRIVE, OGINIGBA TOWN, TRANS- AMADI INDUSTRIAL LAYOUT",RIVERS,PORT HARCOURT,BRONZE,DIAGNOSTICS
2344180,ANALYTICS MEDICAL DIAGNOSTIC LTD,52 OROGBUM CRESCENT GRA PHASE II PORTHARCOURT,RIVERS,PORTHARCOURT,BRONZE,DIAGNOSTICS
2343184,BEACONHEALTH DIAGNOSTICS,"No 1 Omoku Street, Beside Olu Obasanjo Police station, D line, Port Harcourt",RIVERS,PORTHARCOURT,BRONZE,DIAGNOSTICS
,,,,,,
2340986,IMAGE DIAGNOSTICS UYO,"OFF NO 4 OBIO IMOH STREET ,BY AKA ROAD",AKWA IBOM,UYO,BRONZE,DIAGNOSTICS
 , , , , , , 
2343898,IMAGE DIAGNOSTICS OWERRI,"6 NKWERRE STREET OFF BISHOP UNEGBU AVENUE,WORKS LAYOUT ,IMSU ROUNDABOUT,OWERR",IMO,OWERRI,BRONZE,DIAGNOSTIC
,,,,,,
2340678,KMEDICS RADIO DIAGNOSTIC CENTER,"X6, ALIYU MAKAMA ROAD, BY ZAMBIA ROAD, BARNAWA, KADUNA",KADUNA,KADUNA,BRONZE,DIAGNOSTICS
,,,,,,
2344072,SOKOTO STATE ADVANCED MEDICAL DIAGNOSTIC CENTRE,ALONG BIRNIN KEBBI ROAD FARFARU SOKOTO,SOKOTO,SOKOTO,BRONZE,DIAGNOSTICS
,,,,,,
2343946,MURI PHARMACY AND LABORATORY SERVICES LTD,NO 77 HOSPITAL ROAD JIMETA YOLA,ADAMAWA,YOLA,BRONZE,DIAGNOSTICS
 , , , , , , 
2343184,BEACONHEALTH DIAGNOSTICS,"57,Laro Street, beside Atewogbeja Medical Center,Isale Osun, 08130915727",OSOGBO,OSUN,GOLD,DIAGNOSTICS
2342849,SUNRISE MEDICAL DIAGNOSTICS,"24 IFELODUN STREET, ODI-OLOWO, OLAIYA, OSOGBO",OSOGBO,OSUN,BRONZE,DIAGNOSTICS
,,,,,,
2343184,BEACONHEALTH DIAGNOSTICS,"22B, Similoluwa Hospital Road, Obayemi plaza, Ado-Ekiti",EKITI,Ado-Ekiti,BRONZE,DIAGNOSTICS
,,,,,,
2343184,BEACONHEALTH DIAGNOSTICS,"64,Ibrahim Taiwo Road,beside Sakama junction, Taiwo Isale,Ilorin,Kwara, 08090654552",ILORIN,KWARA,BRONZE,DIAGNOSTICS
,,,,,,
2343184,BEACONHEALTH DIAGNOSTICS,"32, Olofa way, Adjacent Total filling station, Offa",OFFA,KWARA,BRONZE,DIAGNOSTICS
 , ,, , , , 
2343184,BEACONHEALTH DIAGNOSTICS,"1,C.S. Ola Street behind Fovic Pharmacy, Ringroad Ibadan,Oyo State,08169072170,08063520175 ",IBADAN,OYO,BRONZE,DIAGNOSTICS
2344219,XPRESS BIOMEDICAL DIAGNOSTIC ,"SW8/1423,STATE HOSPITAL ROAD ADEOYO OFF RING ROAD,IBADAN,OYO STATE",IBADAN,OYO,BRONZE,DIAGNOSTICS
,MECURE ,"5, Awosika Avenue, Old Bodija, Ibadan",IBADAN,OYO,BRONZE,DIAGNOSTICS
2344372,DEOCHARIS MEDICAL DIAGNOSTIC,"ARIGBABUWO HOUSE OPPOSITE KUFORITI,OLUBI JUCTION. ADIGBE",OGUN,ABEOKUTA,BRONZE,DIAGNOSTIC
,,,,,,
2343000,BIOMED DIAGNOSTIC CENTRE,#24 OKPE ROAD,DELTA,SAPELE,BRONZE,DIAGNOSTICS
,,,,,,
2344314,ROBBINS DIAGNOSTICS CENTER,"85, NKALIKI ROAD",ABAKALIKI,EBONYI,BRONZE,DIAGNOSTICS
2344060,FORESIGHT DIAGNOSIS AND MEDICAL SERVICE LTD,N0 15B THOMAS DIDEL LIBERTY BOULEVARD OPP RANDIAMAH ,JOS,PLATEAU,BRONZE,DIAGNOSTIC CENTRE
